database,metric,run_01,run_02,run_03,median,min,max,mean,std_dev,cv_pct
KùzuDB,Concurrency 1 QPS,374.94,339.25,435.84,374.94,339.25,435.84,383.34,39.88,10.4
KùzuDB,Concurrency 1 p50 (ms),1.684,2.024,1.441,1.684,1.441,2.024,1.716,0.239,13.93
KùzuDB,Concurrency 1 p95 (ms),7.047,7.614,6.343,7.047,6.343,7.614,7.001,0.52,7.43
KùzuDB,Concurrency 10 QPS,516.71,534.25,551.02,534.25,516.71,551.02,533.99,14.01,2.62
KùzuDB,Concurrency 10 p50 (ms),10.428,11.324,10.145,10.428,10.145,11.324,10.632,0.503,4.73
KùzuDB,Concurrency 10 p95 (ms),22.469,23.578,21.518,22.469,21.518,23.578,22.522,0.842,3.74
KùzuDB,Concurrency 40 QPS,445.84,406.11,571.42,445.84,406.11,571.42,474.46,70.46,14.85
KùzuDB,Concurrency 40 p50 (ms),9.514,10.914,8.993,9.514,8.993,10.914,9.807,0.811,8.27
KùzuDB,Concurrency 40 p95 (ms),21.72,23.077,19.437,21.72,19.437,23.077,21.411,1.502,7.01
Apache AGE,Ingest Nodes/sec,87554.14,93278.46,92830.21,92830.21,87554.14,93278.46,91220.94,2599.27,2.85
Apache AGE,Ingest Rels/sec,100528.71,96623.25,103345.2,100528.71,96623.25,103345.2,100165.72,2756.2,2.75
Apache AGE,Ingest Node Time (s),0.209,0.196,0.197,0.197,0.196,0.209,0.201,0.006,2.94
Apache AGE,Ingest Rel Time (s),1.243,1.294,1.21,1.243,1.21,1.294,1.249,0.035,2.77
Apache AGE,Ingest Wall Clock (s),1.495,1.534,1.44,1.495,1.44,1.534,1.49,0.039,2.59
Apache AGE,1-Hop Cold Latency (ms),6.062,6.806,6.152,6.152,6.062,6.806,6.34,0.332,5.23
Apache AGE,1-Hop p50 (ms),5.353,5.404,5.13,5.353,5.13,5.404,5.296,0.119,2.25
Apache AGE,1-Hop p95 (ms),51.146,53.298,50.981,51.146,50.981,53.298,51.808,1.056,2.04
Apache AGE,2-Hop Cold Latency (ms),7.548,8.12,47.462,8.12,7.548,47.462,21.043,18.682,88.78
Apache AGE,2-Hop p50 (ms),6.532,8.273,6.619,6.619,6.532,8.273,7.141,0.801,11.22
Apache AGE,2-Hop p95 (ms),54.746,55.63,54.868,54.868,54.746,55.63,55.081,0.391,0.71
Apache AGE,3-Hop Cold Latency (ms),296.729,572.861,301.042,301.042,296.729,572.861,390.211,129.165,33.1
Apache AGE,3-Hop p50 (ms),284.922,4.173,216.923,216.923,4.173,284.922,168.673,119.586,70.9
Apache AGE,3-Hop p95 (ms),392.698,53.466,384.582,384.582,53.466,392.698,276.915,158.037,57.07
Apache AGE,Point Lookup p50 (ms),2.448,1.998,1.744,1.998,1.744,2.448,2.063,0.291,14.11
Apache AGE,Point Lookup p95 (ms),3.14,3.762,2.077,3.14,2.077,3.762,2.993,0.696,23.24
Apache AGE,Indexed Lookup p50 (ms),2.883,2.889,2.326,2.883,2.326,2.889,2.699,0.264,9.78
Apache AGE,Indexed Lookup p95 (ms),5.759,8.677,3.099,5.759,3.099,8.677,5.845,2.278,38.97
Apache AGE,Count Agg p50 (ms),201.295,200.294,200.425,200.425,200.294,201.295,200.671,0.444,0.22
Apache AGE,Count Agg p95 (ms),679.177,285.186,286.994,286.994,285.186,679.177,417.119,185.304,44.42
Apache AGE,GroupBy Agg p50 (ms),8.049,8.064,7.576,8.049,7.576,8.064,7.896,0.227,2.87
Apache AGE,GroupBy Agg p95 (ms),55.677,55.98,55.515,55.677,55.515,55.98,55.724,0.193,0.35
Apache AGE,Concurrency 1 QPS,262.51,215.75,264.95,262.51,215.75,264.95,247.74,22.64,9.14
Apache AGE,Concurrency 1 p50 (ms),2.028,2.544,1.912,2.028,1.912,2.544,2.161,0.275,12.71
Apache AGE,Concurrency 1 p95 (ms),6.987,8.09,6.316,6.987,6.316,8.09,7.131,0.731,10.26
Apache AGE,Concurrency 10 QPS,244.94,230.23,267.21,244.94,230.23,267.21,247.46,15.2,6.14
Apache AGE,Concurrency 10 p50 (ms),29.176,34.953,5.406,29.176,5.406,34.953,23.178,12.786,55.17
Apache AGE,Concurrency 10 p95 (ms),117.673,94.127,154.362,117.673,94.127,154.362,122.054,24.785,20.31
Apache AGE,Concurrency 40 QPS,260.72,234.61,248.95,248.95,234.61,260.72,248.09,10.68,4.3
Apache AGE,Concurrency 40 p50 (ms),21.968,162.265,139.908,139.908,21.968,162.265,108.047,61.548,56.96
Apache AGE,Concurrency 40 p95 (ms),589.198,464.373,501.548,501.548,464.373,589.198,518.373,52.33,10.1
